bus,sense,termination_status,primal_status,objective,bustype,output_idx,nn_output,pf_output,solve_time,n_iter,nvar,jacobian_nnz,hessian_nnz
1,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.39086405374312494,3,56,1.7317371368408203,2.122601191325092,25.3318088054657,16,470,30260,24237
2,min,LOCALLY_SOLVED,FEASIBLE_POINT,-3.7793767376941014,2,47,0.6583939790725708,4.437770716766736,19.48453998565674,16,470,30260,24237
3,min,LOCALLY_SOLVED,FEASIBLE_POINT,-1.4254576504471608,2,49,0.33029061555862427,1.755748265731175,20.790843963623047,14,470,30260,24237
4,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.029652121456112956,1,30,1.0008349418640137,1.0304870633200256,59.61955404281616,42,470,30260,24237
5,min,OTHER_ERROR,NEARLY_FEASIBLE_POINT,-0.023270392968210096,1,32,1.002899408340454,1.0261697699538568,121.20485186576843,71,470,30260,24237
6,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.4518272753225492,2,51,0.22393792867660522,0.6757652039991551,28.41334104537964,21,470,30260,24237
7,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.01831268558244581,1,34,1.0347541570663452,1.053066842648805,20.479437828063965,16,470,30260,24237
8,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.3301934352770343,2,53,0.1342281848192215,0.46442162009625576,76.06521987915039,51,470,30260,24237
9,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.020484242138732123,1,36,1.0291199684143066,1.0496042105526073,39.15164589881897,29,470,30260,24237
10,min,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,-0.015394784434266784,1,38,1.0285552740097046,1.0439500584439712,60.87882089614868,44,470,30260,24237
11,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0076702466529221525,1,40,1.040791630744934,1.0484618773982222,18.954210996627808,17,470,30260,24237
12,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0033538479212098515,1,42,1.0419799089431763,1.0453337568640675,38.87709999084473,29,470,30260,24237
13,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0013653209767701124,1,44,1.039405345916748,1.0407706668935761,29.787062883377075,25,470,30260,24237
14,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.004704601662498975,1,46,1.02290940284729,1.0276140045091924,28.560821056365967,23,470,30260,24237
1,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.16850568976319957,3,56,-2.5948593616485596,-2.763365051217332,264.81690287590027,216,470,30260,24237
2,max,LOCALLY_SOLVED,FEASIBLE_POINT,3.4202535649405945,2,47,0.5595126152038574,-2.8607409503402534,45.08020091056824,39,470,30260,24237
3,max,ITERATION_LIMIT,INFEASIBLE_POINT,,2,49,,,542.5025999546051,500,470,30260,24237
4,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06050270737279151,1,30,0.9671204686164856,0.9066177612435649,16.30495309829712,15,470,30260,24237
5,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.060285263540173495,1,32,0.9657869935035706,0.9055017299635777,16.148072957992554,15,470,30260,24237
6,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.7410060773912952,2,51,0.16303029656410217,-0.577975780827296,17.205036163330078,17,470,30260,24237
7,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.064146141720693,1,34,0.990652322769165,0.926506181048483,23.574323892593384,23,470,30260,24237
8,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.36189521093211985,2,53,0.05778656154870987,-0.30410864937401194,17.135087966918945,17,470,30260,24237
9,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06668091281761201,1,36,0.986221969127655,0.9195410562857598,13.423681020736694,13,470,30260,24237
10,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06978811290780973,1,38,0.9844038486480713,0.9146157357475467,14.4513521194458,14,470,30260,24237
11,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06934508158230801,1,40,0.9925064444541931,0.9231613628497223,14.81315302848816,14,470,30260,24237
12,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06961152419872108,1,42,0.9922645092010498,0.9226529850022975,20.920285940170288,19,470,30260,24237
13,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.07279629454179581,1,44,0.9896036386489868,0.9168073441067734,20.428768157958984,19,470,30260,24237
14,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.08600777051891217,1,46,0.9835501313209534,0.89754236080289,12.809268951416016,13,470,30260,24237
