bus,direction,training_point_index,termination_status,primal_status,objective,bustype,output_idx,nn_output,pf_output,solve_time,n_iter,nvar,ncon,jacobian_nnz,hessian_nnz
4,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.35725901092099765,1,30,0.9470536112785339,0.899999997960083,17.977888107299805,23,902,1131,30714,24237
5,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.4013363541585482,1,32,0.940000593662262,0.899999999700017,16.947245836257935,33,902,1131,30714,24237
7,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.623233378078985,1,34,0.9521511197090149,0.8999999999282009,9.044768810272217,18,902,1131,30714,24237
9,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.5199657268470217,1,36,0.946795642375946,0.9000000002768503,8.692965984344482,17,902,1131,30714,24237
10,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.45488248761945044,1,38,0.9447278380393982,0.8999999963405556,11.558788061141968,22,902,1131,30714,24237
11,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.47620721368802466,1,40,0.9609310030937195,0.9000000028528797,10.791728019714355,21,902,1131,30714,24237
12,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.4063098140456356,1,42,0.9716725945472717,0.9000000087299709,19.67199993133545,38,902,1131,30714,24237
13,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,2.0685048598061484,1,44,0.9768325686454773,0.9000000099963223,14.412848949432373,28,902,1131,30714,24237
14,lower,0,LOCALLY_SOLVED,FEASIBLE_POINT,0.28314932050991515,1,46,0.9572815895080566,0.8999999995055995,29.70002818107605,57,902,1131,30714,24237
4,lower,1,ITERATION_LIMIT,INFEASIBLE_POINT,,1,30,,,265.26580595970154,500,902,1131,30714,24237
5,lower,1,ITERATION_LIMIT,INFEASIBLE_POINT,,1,32,,,267.7602918148041,500,902,1131,30714,24237
7,lower,1,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,34,,,28.005656003952026,54,902,1131,30714,24237
9,lower,1,LOCALLY_SOLVED,FEASIBLE_POINT,0.26964495669746813,1,36,0.9609844088554382,0.8999999921958572,13.464849948883057,26,902,1131,30714,24237
10,lower,1,ITERATION_LIMIT,INFEASIBLE_POINT,,1,38,,,279.576504945755,500,902,1131,30714,24237
11,lower,1,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.8491883944692834,1,40,0.940000057220459,0.9000000082268808,23.803290843963623,45,902,1131,30714,24237
12,lower,1,LOCALLY_SOLVED,FEASIBLE_POINT,0.4795587272674545,1,42,0.9728714823722839,0.9000000085685168,13.546611070632935,25,902,1131,30714,24237
13,lower,1,LOCALLY_SOLVED,FEASIBLE_POINT,0.6892409930025761,1,44,0.9777948260307312,0.9000000081654622,9.383999109268188,18,902,1131,30714,24237
14,lower,1,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,46,,,24.48195505142212,47,902,1131,30714,24237
4,lower,2,ITERATION_LIMIT,INFEASIBLE_POINT,,1,30,,,266.69962096214294,500,902,1131,30714,24237
5,lower,2,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.1952914724134179,1,32,0.9399999976158142,0.9000000000834567,30.037904977798462,53,902,1131,30714,24237
7,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.574926272503521,1,34,0.9696218967437744,0.9000000069253417,8.454915046691895,16,902,1131,30714,24237
9,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.5113862932428943,1,36,0.970840573310852,0.9000000045989682,8.842777967453003,17,902,1131,30714,24237
10,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.23853315793210617,1,38,0.9529180526733398,0.8999999970969901,6.896451950073242,13,902,1131,30714,24237
11,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.22851497175199262,1,40,0.9611586928367615,0.9000000032260808,6.940211057662964,13,902,1131,30714,24237
