bus,sense,termination_status,primal_status,objective,bustype,output_idx,nn_output,pf_output,solve_time,n_iter,nvar,ncon,jacobian_nnz,hessian_nnz
1,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.4217171798907897,3,56,1.70088529586792,2.1226015227297506,12.196009159088135,12,470,481,30260,24237
2,min,LOCALLY_SOLVED,FEASIBLE_POINT,-3.738479223393833,2,47,0.699291467666626,4.437770750706053,7.750330209732056,14,470,481,30260,24237
3,min,ITERATION_LIMIT,NEARLY_FEASIBLE_POINT,-1.1557584322691128,2,49,0.5992528796195984,1.755011192763295,275.8138689994812,500,470,481,30260,24237
4,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.02605368759400961,1,30,1.0044333934783936,1.0304870810723665,10.446669101715088,20,470,481,30260,24237
5,min,ITERATION_LIMIT,INFEASIBLE_POINT,,1,32,,,266.67288422584534,500,470,481,30260,24237
6,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.49840125668891794,2,51,0.1754004955291748,0.6738016628270405,23.914655923843384,42,470,481,30260,24237
7,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.009327979853273272,1,34,1.043738842010498,1.0530668218639128,9.498979091644287,18,470,481,30260,24237
8,min,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,2,53,,,220.4683711528778,378,470,481,30260,24237
9,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0065967694043689296,1,36,1.0430073738098145,1.0496041432141299,8.666340112686157,17,470,481,30260,24237
10,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0046014117996993065,1,38,1.039348840713501,1.0439500140948403,33.55800700187683,65,470,481,30260,24237
11,min,ITERATION_LIMIT,NEARLY_FEASIBLE_POINT,0.007403822864700871,1,40,1.0209980010986328,1.0135941743367212,269.3204228878021,500,470,481,30260,24237
12,min,ITERATION_LIMIT,INFEASIBLE_POINT,,1,42,,,261.02287793159485,500,470,481,30260,24237
13,min,LOCALLY_SOLVED,FEASIBLE_POINT,8.13784263944406e-5,1,44,1.0408520698547363,1.0407706914282606,13.852021932601929,26,470,481,30260,24237
14,min,LOCALLY_SOLVED,FEASIBLE_POINT,-0.0023696694276209573,1,46,1.0252439975738525,1.0276139054201419,38.906782150268555,73,470,481,30260,24237
1,max,ITERATION_LIMIT,FEASIBLE_POINT,0.17761127919911823,3,56,-2.563406229019165,-2.7410172698056954,280.22139978408813,500,470,481,30260,24237
2,max,ITERATION_LIMIT,NEARLY_FEASIBLE_POINT,3.220235113269314,2,47,0.4464636445045471,-2.7737668165258462,268.38220500946045,500,470,481,30260,24237
3,max,ITERATION_LIMIT,NEARLY_FEASIBLE_POINT,0.5740042731425253,2,49,0.30449339747428894,-0.2695108088987971,270.73848390579224,500,470,481,30260,24237
4,max,ITERATION_LIMIT,INFEASIBLE_POINT,,1,30,,,256.0245990753174,500,470,481,30260,24237
5,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.06782032166977903,1,32,0.9733222126960754,0.9055018314211517,6.817370891571045,13,470,481,30260,24237
6,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.6769680717964586,2,51,0.09899238497018814,-0.5779757464308085,7.2870519161224365,14,470,481,30260,24237
7,max,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.0688250268907098,1,34,0.9952486157417297,0.9264236499840145,50.651402950286865,92,470,481,30260,24237
8,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.3528345753729446,2,53,0.049164749681949615,-0.3036697660863292,9.954148769378662,19,470,481,30260,24237
9,max,ITERATION_LIMIT,INFEASIBLE_POINT,,1,36,,,256.73125100135803,500,470,481,30260,24237
10,max,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.07503959030916707,1,38,0.9896312355995178,0.9145915269154695,16.920253038406372,31,470,481,30260,24237
11,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.07622305789902395,1,40,0.9993844628334045,0.9231614049344254,8.315061092376709,16,470,481,30260,24237
12,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.07168922321211635,1,42,0.9943423867225647,0.9226530443013116,8.295082807540894,16,470,481,30260,24237
13,max,LOCALLY_SOLVED,FEASIBLE_POINT,0.07201366554733712,1,44,0.9888210892677307,0.9168073045100508,202.0785858631134,367,470,481,30260,24237
14,max,ITERATION_LIMIT,FEASIBLE_POINT,0.07460296150538237,1,46,0.9721595644950867,0.8975566029900589,274.7180459499359,500,470,481,30260,24237
